8/3/1979,F,95001,Ireland,2,d,MED,D,34613
26/6/1984,F,99599,Greece,8,m,MED,L,18380
1/3/1989,F,95683,Spain,6,m,MED,D,23050
25/10/1984,M,93991,Portugal,1,m,MED,L,17617
14/10/1978,M,91915,Ireland,6,m,SUP,D,14327
9/8/1974,M,99188,GreatBritain,3,m,LAU,DS,63765
27/8/1984,F,91331,Germany,0,m,MED,DS,33871
8/11/1980,M,92064,GreatBritain,8,m,SUP,L,13347
11/5/1987,M,95442,Germany,4,m,MED,D,56693
20/5/1972,M,93863,Finland,2,m,SUP,L,72380
18/4/1982,F,98402,Poland,3,nm,LAU,D,42604
1/3/1971,M,98838,Greece,4,nm,SUP,L,37367
2/9/1974,M,92607,Denmark,1,d,LAU,D,16366
10/3/1972,M,93351,Greece,4,nm,SUP,DS,17704
15/11/1974,M,92329,Italy,8,d,LAU,D,67108
11/8/1984,F,95159,Poland,5,nm,LAU,L,79856
16/10/1972,M,99582,Poland,2,d,LAU,D,52500
8/9/1980,F,99533,Hungary,6,m,LAU,DS,76840
19/9/1977,M,99539,Hungary,6,d,LAU,DS,49188
26/5/1987,M,92406,Germany,3,nm,MED,DS,74762
15/11/1973,F,95769,Denmark,6,m,SUP,L,21748
20/3/1988,M,98160,Denmark,5,nm,SUP,DIS,46369
25/5/1970,F,98698,Portugal,6,nm,MED,DS,32385
8/5/1970,F,94864,Portugal,1,d,SUP,DS,23082
22/1/1983,F,97076,France,4,d,SUP,L,29239
26/2/1971,F,95748,Greece,4,d,MED,D,30792
8/4/1971,M,90667,Poland,8,nm,MED,D,48496
23/6/1986,F,97582,Italy,3,m,LAU,DIS,53198
27/7/1975,M,99485,Austria,8,m,MED,DS,77530
19/9/1974,F,93186,Ireland,1,d,MED,D,32754
16/9/1984,M,97751,Spain,7,nm,LAU,D,30649
25/9/1973,M,92537,Spain,4,nm,MED,DS,24719
3/7/1979,M,99440,Austria,6,m,SUP,L,45230
14/5/1975,M,99786,Hungary,1,nm,LAU,L,21641
7/3/1971,M,92522,Greece,4,nm,SUP,L,23270
1/3/1975,F,98672,Hungary,3,nm,SUP,DIS,54214
24/4/1986,F,94014,Italy,5,d,MED,DIS,27791
15/8/1973,M,97281,Portugal,5,m,MED,L,61118
20/2/1977,F,92064,Spain,0,d,SUP,DIS,25845
16/8/1971,M,92578,Germany,5,d,MED,L,44732
23/7/1974,M,91193,Portugal,8,nm,SUP,DS,72756
27/11/1981,F,92374,Germany,3,nm,MED,D,46717
27/7/1989,F,95159,Ireland,7,d,MED,L,67952
15/5/1971,M,96141,Spain,3,nm,SUP,L,46070
1/8/1974,F,98857,Austria,2,nm,SUP,DIS,60691
