34613,3****,*
18380,1****,*
23050,2****,*
17617,1****,*
14327,1****,*
63765,6****,*
33871,3****,*
13347,1****,*
56693,5****,*
72380,7****,*
42604,4****,*
37367,3****,*
16366,1****,*
17704,1****,*
67108,6****,*
79856,7****,*
52500,5****,*
76840,7****,*
49188,4****,*
74762,7****,*
21748,2****,*
46369,4****,*
32385,3****,*
23082,2****,*
29239,2****,*
30792,3****,*
48496,4****,*
53198,5****,*
77530,7****,*
32754,3****,*
30649,3****,*
24719,2****,*
45230,4****,*
21641,2****,*
23270,2****,*
54214,5****,*
27791,2****,*
61118,6****,*
25845,2****,*
44732,4****,*
72756,7****,*
46717,4****,*
67952,6****,*
46070,4****,*
60691,6****,*
51690,5****,*
17762,1****,*
59375,5****,*
20953,2****,*
22980,2****,*
74918,7****,*
47883,4****,*
68487,6****,*
79419,7****,*
31528,3****,*
25318,2****,*
63928,6****,*
71027,7****,*
31837,3****,*
14824,1****,*
74422,7****,*
71642,7****,*
12113,1****,*
54167,5****,*
36795,3****,*
57027,5****,*
47246,4****,*
77388,7****,*
77964,7****,*
47067,4****,*
79613,7****,*
39111,3****,*
39836,3****,*
53717,5****,*
78895,7****,*
35243,3****,*
67312,6****,*
45945,4****,*
78679,7****,*
22976,2****,*
68481,6****,*
39096,3****,*
56951,5****,*
33666,3****,*
55636,5****,*
38812,3****,*
32876,3****,*
24421,2****,*
74283,7****,*
38938,3****,*
61605,6****,*
28075,2****,*
14986,1****,*
48691,4****,*
52321,5****,*
16557,1****,*
59617,5****,*
46777,4****,*
22182,2****,*
69666,6****,*
19306,1****,*
39134,3****,*
10401,1****,*
69722,6****,*
36266,3****,*
52478,5****,*
32304,3****,*
32653,3****,*
15528,1****,*
47982,4****,*
22894,2****,*
57701,5****,*
45612,4****,*
38030,3****,*
13178,1****,*
11137,1****,*
59154,5****,*
14235,1****,*
50325,5****,*
24111,2****,*
35609,3****,*
26711,2****,*
64591,6****,*
41094,4****,*
48297,4****,*
22904,2****,*
41864,4****,*
13245,1****,*
37253,3****,*
79232,7****,*
60675,6****,*
60496,6****,*
37627,3****,*
30238,3****,*
26593,2****,*
77107,7****,*
50726,5****,*
78010,7****,*
75001,7****,*
58083,5****,*
61141,6****,*
39204,3****,*
65461,6****,*
67907,6****,*
48923,4****,*
68198,6****,*
17099,1****,*
28776,2****,*
20237,2****,*
32597,3****,*
64747,6****,*
32778,3****,*
33548,3****,*
51609,5****,*
29948,2****,*
71251,7****,*
71013,7****,*
38681,3****,*
